FuncName,FuncMemory/k,FuncAverageMemory/k,FuncUseTime/s,FuncAverageTime/ms,FuncCalls
GOTProfiler.Awake,0.0000,0.0000,0.0002713203,0.2713203,1
GOTProfiler.Start,0.2500,0.2500,9.489059E-05,0.09489059,1
GOTProfiler.GetSystemInfo,31.9688,31.9688,0.1439652,143.9652,1
GOTProfiler.UploadFile,0.5938,0.6042,0.0009851456,46.39657,3
GOTProfiler.StartMonitor,0.0000,0.0000,1.192093E-05,0.01192093,1
GOTProfiler.<UploadFile>b__38_0,1.8672,1.9258,0.003517628,8.769512,2
GOTProfiler.Tick,0.0000,0.0000,5.722046E-06,0.006580353,5
GOTProfiler.UploadTestInfo,10.5547,10.5547,0.002936363,2.936363,1
GOTProfiler.MonitorInfosReport,21.1563,21.1563,0.004422188,4.422188,1
