FuncName,FuncMemory/k,FuncAverageMemory/k,FuncUseTime/s,FuncAverageTime/ms,FuncCalls
GOTProfiler.Awake,107427.6328,53713.8164,1.814479,907.4086,2
GOTProfiler.Start,107246.6172,53623.4336,1.886452,943.2794,2
GOTProfiler.GetSystemInfo,109556.2891,54794.1289,3.71774,1917.656,2
GOTProfiler.UploadFile,109868.9609,54879.1497,8.169066,3361.241,6
GOTProfiler.StartMonitor,109557.3828,54778.6914,3.719539,1859.773,2
GOTProfiler.<UploadFile>b__36_0,109797.9922,54899.9297,3.924367,1963.848,2
GOTProfiler.Tick,109820.1094,54921.6064,7.595225,3049.673,8
GOTProfiler.UploadTestInfo,109847.8047,54929.1719,8.166132,4084.054,2
GOTProfiler.MonitorInfosReport,109868.9609,54945.0586,8.169075,4085.869,2
